ab ovo,underlying
briefing,word
brigade,wing
bring before,suggest
bring forth,yield
bring forward,wave
bring in,yield
bring on,welcome
bring to,weather
bring,yield
broach,wide
bruise,wound
brute force,weight
bub,youth
buck,youth
bud,youth
buddy,youth
buffer state,wall
build,write
building block,water
bulkhead,work
bullshit,wind
bullwhacker,whip
bulwark,work
bumble,trip
bumbling,wooden
bun,twist
buncombe,wind
bunk,wind
bunkum,wind
bunting,white
burn out,wind
burn up,worry
bushwa,wind
business,work
businesslike,working
busy,working
busywork,work
but,yet
butte,swell
buy in,venture
by and by,tomorrow
by and large,virtually
by means of,with
by virtue of,with
by way of,with
by,with
bylaw,statute
bystander,witness
c note,yard
cabdriver,whip
cache,warehouse
cachet,trick
cadger,vendor
cadre,wing
caesura,vacation
caliber,worth
call for,wish
caller,visitor
calling,work
camp,wing
canker,wound
cannonball,wind
canvass,yes
capacious,widespread
capitulation,treaty
capping,upper
captivate,wow
carbonate,work
carbonation,working
carbuncle,wound
carefree,wild
careless,wrong
carelessness,withdrawal
caress,whisper
carry away,wow
carry weight,weight
carry,wing
cartel,wedding
carter,whip
carton,till
case,till
cashbox,till
cast off,withdraw
cast,yield
castellate,wall
catalysis,working
catatonic stupor,withdrawal
catch up,trap
catch,wish
category,variety
cathartic,wash
cathedral,standard
catholic,worldwide
caucus,wing
caudal,ultimate
caution,whisper
cavalcade,train
cave in,yield
cave,yield
caviling,small
cavort,trip
cease fire,vacation
cease,yield
celebrated,well-known
celibacy,withdrawal
census,whole
centenarian,veteran
center,zone
central,wide
cerebral,wide
ceremony,weight
certain,written
certificate,witness
certification,witness
certify,witness
cessation,withdrawal
cetacean,whale
chaff,window
chagrin,upset
chagrined,upset
chamber music,work
chamber of commerce,utility
chancre,wound
chaotic,wild
chapel,theater
chapfallen,upset
chapter,wing
char,work
characterization,writing
characterize,write
characterless,wooden
charade,work
charmer,wolf
chart,writing
chasten,weaken
chastise,whip
chastity,virtue
chauffeur,wheel
cheap,wrong
checkered,variable
chef,teacher
chemical element,water
chest,till
chick,youngster
chicken feed,wheat
chicken,yellow
chilblain,wound
child,youth
childhood,youth
children,youth
chip in,vote
chip off the old block,twin
chiropodist,specialist
chit,youngster
chivalry,war
chivy,worry
chlorinate,work
chock,weight
choice,wish
chomp,swallow
choosing,will
choosy,strict
choral,vocal
choreography,writing
chosen,upper
chromatic,warm
chronological,traditional
chronology,while
chump,victim
cincture,zone
circle,zone
circulate,wind
circumvent,wheel
cistern,well
citizen,voter
city father,whip
civic,village
civilized,wise
clabber,whip
clairvoyance,wisdom
clapboard,wood
class,year
classic,writing
cleaner,wash
clearance,withdrawal
clerk,writer
cliff hanger,work
climate,zone
climb down,withdraw
clime,zone
clinch,wrist
clinker,wolf
clique,wing
cloak,wrap
closing,ultimate
closure,wrist
clothe,yield
cloture,vote
clover,well-being
clumsy,wooden
clutch,young
coachman,whip
coagulate,whip
coalition,wedding
coastal,threshold
coauthor,writer
cocaine,upper
coccus,virus
cockamamie,wild
codicil,will
codify,type
coercion,violence
coextend,time
coffer,till
coffer,warehouse
cogency,worth
cogitable,speculate
cogwheel,transmission
cohere,unite
cohort,wing
coif,wave
coinage,work
coincide,unite
coke,upper
cold cream,wash
collaborate,write
collaborator,writer
collapse,yield
collar,zone
collective,wide
collegiate,university
colorless,wooden
colossal,wonderful
colt,youth
column,wing
columnist,writer
come apart,yield
come by,win
come forward,volunteer
come into,win
come to,witness
come,yield
comer,winner
comforter,spread
command of language,way
commend,yield
commerce,work
commercial,working
commingle,work
commission,yield
commodious,widespread
common sense,wisdom
communicate,yield
communion,version
communique,word
communist,terrorist
compact,till
comparable,uniform
compatible,welcome
compensation,withdrawal
complex,wilderness
complexion,way
component,water
components,whole
compose,yield
composer,writer
composite,various
compound,yield
compromise,yield
comptroller,visitor
compulsion,withdrawal
computing,statistical
comradeship,union
concede,yield
conclusion,word
concoct,write
concoction,work
concrete,wood
concubine,woman
condemnation,verdict
condign,suitable
condolence,sympathy
condominium,voting
conducive,useful
conduction,travel
conduit,way
confederation,wedding
confer,yield
confess,yield
confide,whisper
configuration,wise
confine,yard
confines,zone
confirmation,witness
conform,yield
conformation,web
congest,weight
congregate,unite
congressman,whip
congruence,unity
conjectural,theoretical
conk out,yield
conk,wipe
connotation,value
connotative,typical
connote,testify
conqueror,winner
consequence,worth
consider,weigh
consideration,worth
consign,yield
consolation,sympathy
consonant,wide
conspicuous,wonderful
constituent,whole
construct,write
constructive,virtual
consultant,technician
consultation,warning
container,yard
contemplate,weigh
contiguity,union
contingent,wing
continuation,way
continuity,while
contrast with,vary
contravallation,work
contribute,yield
contributory,useful
controller,visitor
contumacious,wild
convection,travel
converge,unite
convey,word
copious,wide
copyist,writer
copywriter,writer
cordage,volume
cordiality,warmth
cordon bleu,technician
core,zone
corn,wheat
corneous,tough
corps,wing
correct,yield
correlative,twin
correspond,yield
correspondent,writer
corridor,zone
corrupt,wrong
corruption,wrong
cortege,train
cortex,top
coterie,wing
couch,word
cough,wind
council,union
councilman,whip
counsel,will
counselor,teacher
counter culture,withdrawal
counterbalance,weight
counterirritant,vitamin
counterpane,spread
countersign,word
counterstroke,return
country,zone
coup,works
course,zone
courser,wind
court,yard
courtyard,yard
covet,wish
cowardly,yellow
cowed,yellow
coxcomb,swell
cozy,warm
cradle,youth
crag,wall
crap,wind
crave,wish
create,write
credence,trust
credential,witness
credit rating,trust
credit union,union
credit,yield
crenellate,wall
crew,wing
cringe,withdraw
critic,writer
crop,yield
crosscurrent,wind
crosshatch,trace
crowd,wing
crowning,ultimate
crucial,vital
crucify,wrong
crumble,yield
crumple,yield
crusade,war
crux,why
cryptic,virtual
cryptography,writing
crystal ball,tomorrow
cub,youth
cubehead,user
cud,twist
cudgel,wind
culminating,ultimate
cultivate,till
cultivated,wise
culture,till
culture,working
cultured,wise
curdle,whip
curse,wrong
cursive,written
curtain call,turn
curtain raiser,voluntary
curtsy,wave
cushioned,warm
cushy,warm
custody,wing
cut off,withdraw
cut up,zone
cut,till
cyclopean,vast
dairy farmer,trainer
dam,work
damage,wrong
damnable,wrong
dance hall,theater
dark,wrong
dart,wind
dash off,write
date,year
datum,word
daunted,yellow
day off,vacation
day,year
daystar,sun
de emphasize,weaken
de rigueur,traditional
dead pan,withdrawal
deaden,weaken
deadpan,wooden
deal out,yield
dealings,works
deathwatch,wake
debate,yield
debauched,wild
debris,waste
debt,wrong
decade,year
decamp,withdraw
deceive,violate
deceptive,wrong
decide,wish
decision,wish
deck,zone
declaration,word
decline,yield
decrepitude,weakness
dedicate,yield
deductive,theoretical
deed,works
defective,wrong
defiant,wild
deficiency,weakness
defile,wrong
defining,typical
degrade,weaken
deity,world
dejection,withdrawal
deliberate,yield
delight,wow
delineate,write
delineation,writing
deliver,yield
deltoid,widespread
delusive,wrong
deluxe,swell
delve,till
delve,work
demarcation,variation
demesne,walk
demobilize,withdraw
demonstration,writing
demoralize,weaken
demur,yield
deniable,suspicious
denied,upset
denomination,version
denotative,typical
denounce,warn
dental,wide
dentifrice,wash
depart from,withdraw
department,zone
depict,write
depiction,writing
deposal,withdrawal
depose,witness
deposition,word
depository,till
deprave,wrong
derange,weaken
dereliction,wrong
describe,write
descry,witness
desecrate,waste
desecration,violation
desert,worth
desideratum,wish
designation,variety
desist,yield
despite,with
despoil,wrong
despoliation,wrong
dessert,treat
destination,zone
destine,think
destined,written
destroy,wrong
destruction,wrong
desuetude,withdrawal
detention,wait
determinant,weight
determined,willing
determinism,tomorrow
detract,withdraw
detraction,wrong
detriment,wrong
detritus,waste
developed,whole
deviant,weird
devise,write
devitalize,weaken
dewy,young
dexedrine,upper
dexter,white
dharma,way
diagnostic,typical
diagram,writing
dial,weigh
dialogue,work
diameter,zone
diaphony,wolf
diaphragm,zone
diarist,writer
diathesis,willingness
dibble,whale
dichromatic,warm
dicotyledon,weed
didactic,warning
die away,withdraw
difficulty,worry
dig in,wall
dig,till
digest,weigh
digress,wander
dim witted,wooden
dim,wooden
dime,yard
dingy,white
diploma,witness
direct,work
direction,zone
directive,word
